relative_path,category,file_extension,size_bytes,row_count,column_count,sha256
DATA_NOTICE.md,DATA_NOTICE.md,md,1899,,,b8c73528362f8ef906fff7aa0825d9f301a252a36f7594b407ca9c4b5eaa6636
README.md,README.md,md,8526,,,306b12728e8eac0074884bd92e9db1d3bb222deab68018715e2bae8dcb82b2b2
core/agents/agent_execution_logs.csv,core,csv,329253,1569,16,105760692b22aae5126b959529a098f8dfa99661b334502cb4d26dd9224b873f
core/agents/agent_registry.csv,core,csv,1747,11,8,711a1364ba6653b787478c0697ca068c64d72a62b7f125a8b2745b86f354fd2a
core/agents/agent_tool_permissions.csv,core,csv,1402,36,5,c997a771407b31e5255cd7b731372f79f44c08c2ab6ea3b2d6646b9143fb9d0f
core/agents/tool_registry.csv,core,csv,2022,20,6,5c11b803a8af0d6669c9d400d999ba946653b2334357bd65506ed1228397d9e5
core/agents/workflow_definitions.csv,core,csv,3103,12,8,e91ec68e7fd8f422c45f770460ab15c2aa930de15ba066879b645af74479c032
core/agents/workflow_runs.csv,core,csv,166341,400,22,65712b59efd0f94d7387434f85f2c0198d22918edb6615df2722a27cd175b7e2
core/evaluation/agent_performance_summary.csv,core,csv,1032,11,12,9baf49b3ae783b2c56c6b73c91f08b8d937c3cd3c1e23a4333dab1de9d8897ff
core/evaluation/daily_evaluation_metrics.csv,core,csv,43058,720,10,161de73694792853ac8e7d361f157ad5d883a9a29d846757c94c35553328ec49
core/evaluation/evaluation_items.csv,core,csv,142722,960,12,503d9fd8b2c3f15dd47ddee2d2b93ddaf0e3c220eaaae400e55c0fe0c9ba1d09
core/evaluation/evaluation_programs.csv,core,csv,2536,12,11,f7b75c163bf8ee536acd15d188730c08c5d94ced4b9fac70ac2d2bfbdad0a13d
core/evaluation/evaluation_runs.csv,core,csv,12169,120,11,132b169c69d8230dea5b5f4d4e263dea16ee6ae84b9b7d4d50790b1089f54d42
core/evaluation/explainability_test_cases.csv,core,csv,18119,60,10,63f12bf61f395dd47074eecebd646d02aa250611427db30f37ea056059e1edd2
core/evaluation/judge_results.csv,core,csv,85993,960,11,ac0ddf374a7cfc35c95ff51269e0060b1230aea253f0c03eb1e0488811e8a937
core/evaluation/metrics_template.csv,core,csv,1879,14,5,95ab9a5674db98fc37e0a3c59902d002c92a205c599e2255ba0cdd46f1fae019
core/evaluation/reviewer_decisions.csv,core,csv,7257,76,11,d6930d7d6bee58e550463a32c65944bf0856ecf8d5458521aa48cb29a2332e3f
core/evaluation/routing_test_cases.csv,core,csv,30615,120,10,6399cdededcac4f6b0b5ec49a099d0c7d5c647b5c176a28f89445f6770f20ad0
core/evaluation/security_test_cases.csv,core,csv,40889,320,9,545e9234099ae85d61233854826817f58482cddf72dbf5f6a743e0ac3c1ce876
core/evaluation/workflow_test_cases.csv,core,csv,25908,96,11,f2989c41ed97f608dc04a2e5f84f934d1e0289c457e362a088ca0c5f773f4743
core/hr/attendance_summary.csv,core,csv,112554,2400,10,6aad485fe7557cd2e392f1ccc19a839752bff429edbe076ae98fabbf84ad4546
core/hr/employee_skills.csv,core,csv,26271,600,6,035c72c643c711a539a0344688e347b3637c07b17ced51cd998c612b3be7cb56
core/hr/employee_workload_snapshots.csv,core,csv,50325,800,9,3344fe68096e58d7fab098927dfd629d30349684d4830cadd628e9f6b98678b7
core/hr/employees.csv,core,csv,45067,200,26,27d35a557dab0551697cab0bd31e49e13f82cdff0104ef176b04b8086e1cc75d
core/hr/leave_requests.csv,core,csv,20466,160,13,e54129df29efe97fa62545213470f5012b7f3dbf9494660b5d2d8396da68cf44
core/identity_access/demo_credentials.csv,core,csv,1841,12,6,3b4c971ee79d3ed81044b534e0cf885ae040717250887b9feb7ffa79268e41a1
core/identity_access/departments.csv,core,csv,778,12,6,02d23c91adb947575ca9781b1fc8323fd87b00022986d1118f6abe4bef9e66dc
core/identity_access/permissions.csv,core,csv,1535,32,3,b01d0b13d83bdea955f0a03621c8dfd78c3968375928b2be668a0c07fed9ed89
core/identity_access/role_permissions.csv,core,csv,6279,165,4,5f05cef8c681efabacb23b0ba3184f0364d78955f6df4d91c0c19684d7d0e69b
core/identity_access/roles.csv,core,csv,723,10,4,26d730545438b76e3a766d3aa2078702102823d32feff41c2c7469cf8da41057
core/identity_access/user_roles.csv,core,csv,7080,218,4,b65478c7c372d9ce7f073b71bcfc86272b2c711f5de749cdc08dde68c7270a19
core/identity_access/users.csv,core,csv,43760,200,11,38e9bbaa901b09680d854524b9b6c8cff23180304cf5874a91c5a9e0874c5c1f
core/projects/project_members.csv,core,csv,11076,197,8,2efecf6e5c41da9cec660ac57899dc5567c39ac5e5846dcca497e5f9db2fe698
core/projects/project_risks.csv,core,csv,7681,51,12,efb6f75329ac3e442f9558a456313dc6ed4fe21c6c2625f40ef8163d78c2a045
core/projects/projects.csv,core,csv,4610,18,18,9f93d449c4b87f6e6cfc50dfac1a77babc1b0959469c18c2e4ee020bd520cd52
core/projects/task_dependencies.csv,core,csv,12620,272,5,4d00af0860f99ec08ed1afef7aaf51fba7e61ba7cf0ce2021211a86113009452
core/projects/tasks.csv,core,csv,169292,539,19,5a6862372a48e06949661b6176f8b430158a39969ced858c79d109022ac44b33
core/rag/document_catalog.csv,core,csv,5877,14,15,7c0ef4712dbf9c7a52106f386bc828aa6921397de5df75a09a6bf5915044b5c6
core/rag/prompt_injection_tests.csv,core,csv,17595,60,10,3802e49818904df6326290f05c6932f27916779c609ffc62edf93e3fe554660b
core/rag/rag_chunks.csv,core,csv,31375,44,16,12f9727db50180caa7d110c8255e3e9d1a9101e63c5e068705aee12aff932030
core/rag/rag_evaluation_questions.csv,core,csv,47894,160,15,9c96761013ec159b12d078894c3a8a15821b18a331487ec36fa0ef3bd98fdc18
core/sales_finance/customers.csv,core,csv,32690,250,11,471d9db7a8520ee1d32adae47f2b95c7a0d8ed9dba7b21a4dbeeb2847a02cfd5
core/sales_finance/expense_claims.csv,core,csv,53308,260,16,db0b2d9bb55b5051a263a0ad16b9dbad547591cf80c6caf49212e15ef15fd7bb
core/sales_finance/products.csv,core,csv,6804,60,10,361fd82b2008e79c75c8830f574c983417aaf68a7894a461fb144a95dd415ca4
core/sales_finance/purchase_requests.csv,core,csv,41874,180,16,df3e503b375f910dc68f33dda19bfca87c194c6d8b08babafa7cb8a82f5dea3a
core/sales_finance/sales_orders.csv,core,csv,1105159,5000,24,3c9fb721e2bfeda5c6e3b8ae76f51733fb5341f34daa7e51f59e4c26eaceeb4d
core/sales_finance/sales_targets.csv,core,csv,6306,100,6,9a0c0f5c532975bc205a2ba0d3b159b7d4755a7b56afec04cb43c3dd6016a964
core/sales_finance/suppliers.csv,core,csv,8088,80,8,f46a2901d665899b06ff0ba0f6020b807ffd8aa98b1f2944aa0549b657a40445
core/security_audit/access_control_decisions.csv,core,csv,160520,700,12,9f4ab26246c27f7c100d1ce8aa77ebd81b2b7105449b7ab73e260943fea5dd24
core/security_audit/approval_actions.csv,core,csv,22744,242,8,e60d3b8da573f7fc61a3dea9ea5a8beb198769c703d226bf25fa22f74dae71b4
core/security_audit/approval_requests.csv,core,csv,47343,200,14,772850955609b4d16416879eada7240bdee5afa26d9889aeafa0190241fe03fe
core/security_audit/audit_logs.csv,core,csv,274958,1300,13,474cd83c549193d5236d52caaa55532c1eab9f5ffc67bb8fb0c3e35e389a6dc2
generation_summary.json,generation_summary.json,json,3021,,,ed81f573f69a849314baf268f1de2e5384811d69ecec47b676b6a0cdd0bd3189
knowledge_base/canonical_pdf/DOC001_Employee_Handbook.pdf,knowledge_base,pdf,76423,,,21acb1b60cfa35e53a6035779220e23c6be0dac5f20b5ef79ae09784cecb36d3
knowledge_base/canonical_pdf/DOC002_Leave_and_Attendance_Policy.pdf,knowledge_base,pdf,76669,,,e52bf0e84af9fa2b7d56af7aca6123c653eee903883cd3689bda71afcae75b5b
knowledge_base/canonical_pdf/DOC003_Remote_Work_and_Flexible_Hours_Policy.pdf,knowledge_base,pdf,70110,,,f5e93a8ae8304884441e867370629c3c159ee274a43c6ea347452955a9dbd695
knowledge_base/canonical_pdf/DOC004_Salary_and_Compensation_Access_Policy.pdf,knowledge_base,pdf,69333,,,40a276c252b97831d7389bbac1d357b5cfa772c9bf625a14a7700df024390ff2
knowledge_base/canonical_pdf/DOC005_Information_Security_and_Data_Classification_Policy.pdf,knowledge_base,pdf,78779,,,c2f4f668c0aa4965f53d8596062d756b76dec731d40414ef7d3cbe85f728095a
knowledge_base/canonical_pdf/DOC006_Expense_and_Purchase_Approval_Policy.pdf,knowledge_base,pdf,71749,,,c8b7f7237b29d88e297250dc35ce0d7590c84b0a3f93d2631eac5266ed9bb92b
knowledge_base/canonical_pdf/DOC007_Project_Governance_and_Task_Reassignment_Policy.pdf,knowledge_base,pdf,70227,,,f303e1f7c5ff5827b89110384330ac857977d76cdc2d752c36ef74b7ca9db987
knowledge_base/canonical_pdf/DOC008_Sales_Discount_and_Promotion_Policy.pdf,knowledge_base,pdf,68438,,,7e72a6ee72a7b05ecc1996545b13a63bebc85e7c8ce8d858b3b064e8074820a2
knowledge_base/canonical_pdf/DOC009_AI_Governance_and_Human_in_the_Loop_Policy.pdf,knowledge_base,pdf,73003,,,3d54a374f67a8b7a57a36eb7efdf3a9061809ae695b13c5549518f475b6537d6
knowledge_base/canonical_pdf/DOC010_Incident_Response_Policy.pdf,knowledge_base,pdf,69442,,,41c9179fdc75d61b9cabfb77a7105c50f9fac346a51fb490adf6478ae0077676
